id,severity,type,area,title,effort,zoo,previous,persona_file,recommendation
P01-1,P0,bug,design-system,Dual design systems still co-equal (globals.css vs Tailwind kit),L,no,U-14,01-ui-engineer.md,Inventory components still using `.panel`/`.primary-button`/`.status-pill`; migrate or wrap; mark `globals.css` product classes deprecated; single token source in `tailwind.css`; re-enable preflight last.
P01-2,P0,bug,a11y,Nested `<main>` landmarks on PageShell routes,S,no,U-13,01-ui-engineer.md,Change `PageShell` to `<div role='presentation'>` or `PageContainer`; keep a single main in AppShell only. Add a lint/test: `document.querySelectorAll('main').length === 1` on product pages.
P01-3,P0,bug,findings,Finding status `Validated` paints success-green (open exposure),S,no,U-15,01-ui-engineer.md,"Finding **status** tones: Fixed/Revalidated → fixed; Validated/New/InProgress → approval or missed (attention); never success for open validated. Keep ValidationState map careful: Validated/Exploitable/Missed are negative/attention, not “validated good.” Consider renaming StateTone `validated` → `proven` or `pass` to avoid collision with domain word Validated."
P01-4,P1,bug,design-system,"Severity color maps disagree across dashboard charts, badges, and legacy findings",M,no,U-15,01-ui-engineer.md,"One module `severityVisual.ts` with tone + chart color + optional rank stripe; Critical distinct from High (e.g. missed vs approval or dedicated critical token); Low/Informational neutral, never success-green."
P01-5,P1,bug,paths,Dead “Verify scope” href `/scopes` (no app route),S,no,U-05,01-ui-engineer.md,Point to the real scope UX (e.g. `/missions` or `/data-fabric` + hash/query); add route test that every in-app href resolves to an `app/**/page.tsx`.
P01-6,P1,improvement,nav,Dual nav configs + orphan AppNavigation (feature zoo backbone),M,yes,U-03,01-ui-engineer.md,Delete `app-navigation.ts` / `AppNavigation` after migrating any unique routes into PRIMARY_NAV or Labs list; single export; breadcrumb + command palette already depend on PRIMARY_NAV—keep it that way.
P01-7,P1,improvement,nav,Primary rail is a feature zoo (~37 destinations; Autonomous on main track),M,yes,U-16,01-ui-engineer.md,Default rail ≤10 proof-loop items; Autonomous + Intel + secondary Govern behind Labs accordion or command palette only; lifecycle filter default on until first Fixed verified remediation.
P01-8,P1,improvement,findings,Badge density turns the findings queue into a chip rail,M,yes,U-11,01-ui-engineer.md,"Collapsed row: title, priority score, **one** severity (or exploitability if worse), status text muted; secondary badges only expanded or `lg` multi-column table. Cap header severity chips to top 3 + “+N”."
P01-9,P1,improvement,design-system,Inconsistent page chrome (ad-hoc max-w-7xl vs PageShell vs breadcrumb width),M,no,U-14,01-ui-engineer.md,"One `PageContainer` (width, padding) used by shell content area; breadcrumbs full-bleed within same container; standardize eyebrow to brand or section label only (not dual colors)."
P01-10,P1,improvement,design-system,Orphan v1/v2 component twins and dual trust surfaces,M,yes,U-14,01-ui-engineer.md,"Delete unused v1 files after snapshotting unique behaviors into v2; policies page compose kit Policy panel, not full v1 dashboard clone."
P01-11,P1,improvement,mobile,"Responsive gaps: filter bars, hop tables, mobile drawer chrome",M,no,U-13,01-ui-engineer.md,Escape + focus trap + inert background on mobile nav; hop rows as stacked definition lists under `md`; reduce header badges to risk + claim on small screens; map borders to `border-line`.
P01-12,P2,improvement,design-system,"Empty states are three dialects, not one kit",M,no,none,01-ui-engineer.md,Mandate `EmptyState` | `NotConfigured` | `ErrorState` only; ban raw empty paragraphs in workbenches; document when GetStarted vs EmptyState.
P01-13,P2,bug,copy,Nav labels and page titles disagree (Findings / Validated Results / Exposure),S,yes,U-02,01-ui-engineer.md,"Single `surfaceMeta` map: `{ href, navLabel, title, eyebrow, section }`; breadcrumb/H1/metadata consume it."
P01-14,P2,improvement,engines,Tool governance page is a visual feature zoo (marketplace + packs + developer studio),M,yes,U-16,01-ui-engineer.md,Split routes: `/registries` marketplace only; developer studio under Labs/admin; evidence packs as link-out to modules/missions; max 2 badges per row.
P01-15,P2,improvement,paths,Attack path detail chrome: badge header + multi-section density without progressive disclosure,M,no,theme,01-ui-engineer.md,Sticky “path truth” strip (claim + measured hops count + primary CTA); collapse receipts/breakers behind tabs; per-hop: one eligibility badge + Measure; details in expand.
P01-16,P2,improvement,onboarding,Dual first-run systems still present in chrome,M,yes,U-09,01-ui-engineer.md,"One first-run object; rail primary CTA = same nextAction as GetStarted; Getting Started guide is deep help only, linked from GetStarted footer."
P01-17,P2,bug,design-system,"Legacy teal brand accent still in global chrome (breadcrumb separators, skip link, primary-button)",S,no,U-14,01-ui-engineer.md,Restyle breadcrumb/skip/legacy buttons to brand tokens; reserve success teal **only** for semantic success/fixed/validated-pass tones.
P01-18,P2,feature,findings,Findings UI still omits fingerprint / occurrenceCount (visual ops gap),M,no,U-11,01-ui-engineer.md,Show occurrence chip when `occurrenceCount > 1`; fingerprint mono truncated with copy; default saved view “Active” not only “All.”
P01-19,P3,innovation,design-system,Introduce a single “Claim language strip” primitive for proof-loop pages,M,no,U-02,01-ui-engineer.md,"Kit primitive `ProofStageStrip` (stage, basis Measured|Heuristic, owner, next CTA) mandatory on path/finding/remediation/mission detail; same colors as StateBadge tones; hide on Labs pages."
P01-20,P3,request,performance,Command center fires many parallel list polls (visual jank risk),L,no,none  ---,01-ui-engineer.md,Aggregate dashboard DTO endpoint or React Query shared cache with single `isFetching` banner; staggered skeletons already partially exist—unify behind one loading gate after first paint.
P02-1,P0,bug,auth,Auth recovery routes are not public — reset / invite / verify dead-end at login,S,no,U-01,02-ux-researcher.md,"Add the three recovery prefixes to `PUBLIC_PREFIXES` (and keep them in `BARE_ROUTES`). Add an e2e: unauthenticated GET `/reset-password` and `/reset-password?token=…` must render the form, not login."
P02-2,P0,bug,auth,Login ignores middleware `?next=` deep links,S,no,U-10,02-ux-researcher.md,"On successful login (and SSO return if applicable), if `next` is a same-origin relative path allow-list (not `//`, not external), `router.push(next)`; else persona home. Unit-test login with `?next=/findings`."
P02-3,P0,improvement,proof-loop,Three competing proof-loop models teach three different products,M,yes,U-02,02-ux-researcher.md,"(a) Canonical operator loop = 8 product stages everywhere (context strip, help, activation `stage` field, queue chips). (b) Rename radar aria/copy to “CTEM program stages” and never call it the proof loop. (c) Treat the 3 first-run steps as a *subset* labeled “First proof” with explicit mapping to stages. (d) Add Repeat to `PROOF_LOOP_HELP` or drop Repeat from the schema UI if not used."
P02-4,P1,improvement,onboarding,Dual onboarding: 3-step GetStarted vs 9-milestone Getting Started,M,no,U-09,02-ux-researcher.md,Single progressive checklist: steps 1–3 as primary cards; milestones 4–9 as “Complete the loop” accordion on the same surface. Primary CTA always = `activation.nextAction`. Keep `/getting-started` as deep link alias. Add rail item while `completedMilestones < totalMilestones`.
P02-5,P1,improvement,onboarding,Welcome persona wizard is a third first-run layer with weak handoff,M,no,U-09,02-ux-researcher.md,"Collapse Welcome into the first screen of the unified first-run (optional 30-second role picker above the 3 steps), or auto-default SecurityEngineer and offer Welcome as “Customize view” only. Always surface a single nextAction."
P02-6,P1,improvement,nav,"Primary rail is a feature zoo (~35 destinations, 7 groups)",M,yes,U-03,02-ux-researcher.md,"Default rail for New/Activating/SecurityEngineer: Dashboard, Integrations, Missions, Attack Paths, Findings, Remediation, Reports, Runners, Evidence, Getting started. Move Autonomous + Intel + advanced Govern to Labs (collapsed, after maturity Measured). Palette should use the same filtered set + search-all secondary."
P02-7,P1,bug,nav,Dual nav configs with divergent labels and route sets,M,yes,U-03,02-ux-researcher.md,"Single `nav-config` module; shell + palette + breadcrumbs + route contract import it. Retire `AppNavigation` or mark demo-only. Update test to assert primary rail ⊆ routes, not routes ⊆ full catalog."
P02-8,P1,bug,nav,Activating lifecycle rail omits Findings and Remediation during the critical handoff,S,no,U-09,02-ux-researcher.md,Add `/findings` and `/remediation` to ACTIVATING (and optionally NEW after first measured-capable mission). Align allow-list with ProofLoop stages Understand/Act/Verify.
P02-9,P1,improvement,onboarding,Scope lives under Missions while nav also sells “Assets & Scope”,S (rename/copy) / L (workspace merge),yes,none,02-ux-researcher.md,"Rename data-fabric nav to “Assets & ownership” (or “Asset inventory”). In GetStarted/help, say “Verify authorized scope (on Missions)” and link a dedicated scope panel anchor if one exists. Long-term: Slice 6 single Assets & Scope workspace with tabs Authorization | Inventory."
P02-10,P2,improvement,proof-loop,GetStarted progress double-counts two different scales on one bar,S,no,U-09,02-ux-researcher.md,Single primary bar for first-proof (3 steps). Secondary text link: “Full loop: n/9 — open guide.” Or one bar for 9 milestones with first three emphasized.
P02-11,P2,improvement,onboarding,Getting-started discoverability is account-menu only on the live rail,S,no,U-09,02-ux-researcher.md,"While activation incomplete, pin “Getting started” under Prove (or top of rail). Include in palette always. After Operating maturity, demote to account menu."
P02-12,P2,improvement,demo,“Explore a live sample” risks demo/real conflation next to real setup,S,no,none,02-ux-researcher.md,"Rename to “View sample report (no connection)” / “Practice with sample data.” Visually de-emphasize vs primary. On return from demo, banner: “You are back in your real workspace — sample progress does not apply.”"
P02-13,P2,improvement,handoffs,ProofLoopContext is strong but stage mapping is coarse and uneven,M,yes,U-02,02-ux-researcher.md,"Require ProofLoopContext (or compact stage chip + nextAction) on every workbench that can create evidence or tickets. Map stages from activation `currentStage` when entity-local state is ambiguous. Expand resolveProductHelp for controls, schedules, threat-*, swarm (even if “Labs: not part of first loop”)."
P02-14,P2,improvement,nav,Tenant chip looks like a switcher but is a hard link to MSSP,S,no,none,02-ux-researcher.md,If single-tenant or non-MsspOperator: static label without chevron. If multi-tenant: real switcher. Never send SecurityEngineer New tenants to MSSP as chrome default.
P02-15,P2,improvement,copy,"Label collisions across nav, H1, breadcrumbs, and legacy names",S,yes,U-03,02-ux-researcher.md,Glossary freeze: one label per href in nav config; page H1 must match or include that label. Delete Exposure/Command center dual names.
P02-16,P2,feature,onboarding,No explicit recovery path when first validation fails mid-loop,M,no,none,02-ux-researcher.md,"If maturity Activating/Measured and diagnostics contain Blocking/Attention codes, keep a compact “Resume setup” banner on dashboard (not only empty-state full page) bound to `nextAction` + failed-run diagnostic."
P02-17,P2,improvement,cognitive-load,Command center density competes with Needs you as the hero,M,yes,U-16,02-ux-researcher.md,Above-the-fold: Needs you + one primary metric row + nextAction from activation if incomplete. Collapse CTEM and charts behind “Program health” disclosure default-closed for SecurityEngineer; open for SecurityLeader executive path.
P02-18,P3,innovation,proof-loop,"Make the loop a spatial product map, not only a pill strip",L,yes,U-02  ---,02-ux-researcher.md,Replace decorative radar on first-run with an interactive stage map driven by `getProductActivationState` milestones (click stage → nextAction href). Reuse the same map component collapsed in the rail footer. Keep CTEM six-pack on Threat/Program only.
P03-1,P0,bug,security,applyPathEdgeReceipt can forge Measured without a real validation pipeline,L,no,U-06 / theme proof integrity,03-security-engineer.md,Accept receipts only from control-plane completion of `launchPathEdgeValidation` / runner submit paths; require server-side linkage of `validationRunId` + module outcome; reject client-supplied Measured upgrades. Treat the public apply endpoint as admin break-glass with dual-control or remove it.
P03-2,P0,bug,security,Dual policy gate is incomplete: startMission does not re-evaluate policy or recheck verified scope,M,no,theme dual policy gates / U-20,03-security-engineer.md,On start (and schedule fire): re-run `evaluatePolicy` with current scope + tenant flips; deny if not startable; set default `expiresAt` (e.g. 24h) on create; re-bind target/safety. Keep binding mismatch checks as secondary.
P03-3,P1,bug,security,RLS backstop enforces writes only; reads remain correct-by-convention,L,no,U-20,03-security-engineer.md,"Request-scoped `runWithTenantRls` for authenticated handlers on high-value tables (evidence, findings, remediations, attack paths, policy decisions), or selective FORCE RLS read paths with pool budgeting; CI gate: isolation matrix covers every new route."
P03-4,P1,improvement,runners,Runner mTLS fingerprint enforcement remains opt-in,S,no,U-20 / Wave C-18,03-security-engineer.md,Default-on when `PERISCAN_DEPLOYMENT_ENVIRONMENT=production`; fail deploy health check if unset; document rotation SLA; pin terminator-forwarded fingerprint headers.
P03-5,P1,bug,security,External validation SSRF guard is pre-resolve hostname only (DNS rebinding residual),M,no,U-20,03-security-engineer.md,"Shared `assertSafeOutboundUrl` with: HTTPS only, blocklist, **resolve → re-check private ranges → connect to resolved address with host header pin**, no redirects. Use for external PoA, feeds, connectors, agent discovery."
P03-6,P1,improvement,auth,API key “scopes” collapse to roles; no per-route least privilege,L,no,U-19 enterprise identity,03-security-engineer.md,"Persist fine scopes (missions:write, evidence:read, …); enforce at route layer; keep role mapping only as default ceiling."
P03-7,P1,feature,auth,No tenant force-MFA / step-up policy for privileged actions,M,no,U-19,03-security-engineer.md,"Tenant policy `requireMfa: true`; block non-MFA sessions for admin roles; step-up for destructive config (offensive/destructive flips, API keys, kill switch)."
P03-8,P1,bug,auth,Auth recovery routes gated by Next middleware (session presence),S,no,U-01,03-security-engineer.md,Add recovery/invite/verify paths to PUBLIC_PREFIXES; keep API public; honor `?next=` after login (U-10).
P03-9,P1,improvement,auth,Single HS256 secret signs sessions and report-share tokens; no kid/rotation,M,no,none,03-security-engineer.md,Separate secrets (session / report-share / intervention); add `kid` + dual-verify rotation window; store in KMS/SSM.
P03-10,P2,improvement,security,CSRF reliance on SameSite=Lax alone; no double-submit token for cookie sessions,M,no,none,03-security-engineer.md,Prefer `SameSite=Strict` for session where UX allows; add CSRF token for mutating cookie-auth routes; keep API keys Bearer-only (already).
P03-11,P2,improvement,security,Web middleware treats any cookie presence as authenticated shell,S,no,U-01 / U-10,03-security-engineer.md,"Lightweight JWT exp/nbf check in middleware (no DB), or edge call to `/me`; clear bad cookie."
P03-12,P1,bug,ai-agents,Model-gateway kill switch / anomaly / blast-radius are stubs returning safe defaults,M,yes,theme AI surface demote,03-security-engineer.md,"Wire to real tenant kill-switch storage used by runner/AI validation, or mark NotImplemented and remove from readiness claims."
P03-13,P2,improvement,security,pathEdge update in applyPathEdgeReceipt lacks tenantId in WHERE (defense-in-depth),S,no,U-20,03-security-engineer.md,"Always use compound `where: { pathEdgeId, tenantId }` (or path relation filter); prefer `updateMany` with tenant scope."
P03-14,P2,improvement,security,Fixed-without-verify is mostly closed for tickets; keep risk-band & UI honesty under regression,M,no,theme Fixed honesty,03-security-engineer.md,Single `assertRemediationFixedAllowed(verificationEvent)` chokepoint used by all writers; security test forbids Fixed without measured verification event; UI must never paint Fixed from ticket state alone.
P03-15,P2,improvement,runners,Runner egress DNS trust / IPv6 gap remains,M,no,U-20,03-security-engineer.md,"Resolve, require all addresses in approved CIDRs, dual-stack policy; optional DNS pinning from control-plane signed constraints."
P03-16,P2,improvement,security,Threat-model doc lag: claims no Prisma RLS while write-path RLS exists; understates result-signing mandate,S,no,none,03-security-engineer.md,"Refresh threat model to: write-path RLS active, reads still conventional; result signing mandatory; mTLS still opt-in."
P03-17,P2,feature,security,Secrets at rest for integrations/evidence encryption are env-optional,M,no,none,03-security-engineer.md,Fail boot in production if integration credential key missing; require evidence encryption config for GA; document key rotation.
P03-18,P2,improvement,api,`policy.denied` webhook catalog honesty (emit or remove),S,no,U-08,03-security-engineer.md,"Emit `policy.denied` on denied start/preview with tenant isolation, or remove from catalog."
P03-19,P3,improvement,ops,Rate limiter keying and trustProxy not proven in app path,S,no,none,03-security-engineer.md,Explicit `trustProxy` config in prod compose; document XFF trust only from edge; per-account lockout (already) remains primary.
P03-20,P3,innovation,security,Make PEP unavoidable: policy proxy / interceptor for all execution entrypoints,XL,no,theme safety floor    ---,03-security-engineer.md,Single `executeValidationIntent({...})` that always previews+gates+queues; forbid direct missionQueue from services; lint/architecture test that queue producers only call that chokepoint.
P04-1,P0,bug,evidence,Scorecard rates Attack Path Validation Leading while multi-hop Measured remains Partial,M,no,U-07,04-ciso.md,Immediately reclassify row 3 (and any other path/SCV rows) to Strong/Partial until Slice 3 exit criteria are green; freeze sales decks to scorecard + blind rescore date; make score gate fail on Leading without linked measured-path E2E evidence.
P04-2,P0,bug,paths,Measured multi-hop proof loop is not yet the default operator journey,L,no,"U-05, U-06; theme Slice 3",04-ciso.md,"Treat Slice 3 as the only P0 product epic for enterprise pilots: durable `hopKey`, receipts never lost on re-correlate, Measure hop end-to-end without dead CTAs, anti-fab tests for “no Measured without receipt.”"
P04-3,P0,improvement,compliance,Compliance attestation packs are thin catalogs sold adjacent to “Attestation” naming,M,no,U-24,04-ciso.md,Rename customer-facing packs to “Measured control evidence for &lt;framework&gt; (partial)” unless control coverage ≥ agreed minimum; publish coverage % per framework; never map TLPT/pen-test articles to unmeasured multi-hop; keep auditor-judgment disclaimer non-dismissible in PDF/HTML.
P04-4,P0,improvement,auth,"Enterprise IdP lifecycle incomplete (no SCIM/JIT, no force-MFA policy)",L,no,U-19,04-ciso.md,"Either ship SCIM 2.0 (or Okta/AAD group→role JIT) with deprovision SLA, or publish a sales-assisted provisioning SLA with quarterly access cert; add tenant policy `requireMfaForAllHumanUsers` / SSO-only mode enforced server-side."
P04-5,P0,bug,security,Auth recovery routes not public — account continuity broken,S,no,"U-01, U-10",04-ciso.md,Add recovery/invite/verify paths to public allow-list; honor `?next=` after login (U-10); E2E tests unauthenticated happy path.
P04-6,P1,bug,api,Webhook catalog promises `policy.denied` but never emits it; SIEM contract incomplete,M,no,"U-08, U-21",04-ciso.md,"Emit `policy.denied` on every evaluatePolicy Denied decision (with redacted payload + decision id), or remove from enum; add `remediation.verified` with outcome + evidence IDs; contract tests that every enum value has an emit path."
P04-7,P1,improvement,security,Multi-tenant isolation is strong but not default-read RLS — residual leak class,L,yes (velocity amplifies convention risk),U-20,04-ciso.md,Extend isolation matrix as CI coverage gate for every new tenant-scoped route; prefer `runWithTenantRls` for multi-query handlers; roadmap default-read RLS with connection-pool safe design; never market “RLS everywhere” until reads are bound.
P04-8,P1,improvement,security,Runner mTLS and result signing remain opt-in — provenance not production-default,M,no,U-20; theme runner provenance,04-ciso.md,"Production profile: mTLS required, result signing required for all new runners, rotation SLA documented, kill switch tested quarterly; refuse Enterprise package without these defaults."
P04-9,P1,request,security,No independent platform pen-test — vendor risk gate open,L (mostly external),no,theme enterprise buyer / security eng,04-ciso.md,"Commission annual independent pen-test (auth, multi-tenant, runner, SSRF, model gateway); publish process + summary letter; track findings to close."
